"image_file","timestamp_in_ms","iso_datetime"
"img/cam21586786img1615892476951.jpg",1615892476951,"2021-03-16T11:01:16.951"
"img/cam21586786img1615892477033.jpg",1615892477033,"2021-03-16T11:01:17.033"
"img/cam21586786img1615892477107.jpg",1615892477107,"2021-03-16T11:01:17.107"
"img/cam21586786img1615892477184.jpg",1615892477184,"2021-03-16T11:01:17.184"
"img/cam21586786img1615892477258.jpg",1615892477258,"2021-03-16T11:01:17.258"
"img/cam21586786img1615892477342.jpg",1615892477342,"2021-03-16T11:01:17.342"
"img/cam21586786img1615892477414.jpg",1615892477414,"2021-03-16T11:01:17.414"
"img/cam21586786img1615892477488.jpg",1615892477488,"2021-03-16T11:01:17.488"
"img/cam21586786img1615892477561.jpg",1615892477561,"2021-03-16T11:01:17.561"
"img/cam21586786img1615892477665.jpg",1615892477665,"2021-03-16T11:01:17.665"
"img/cam21586786img1615892477745.jpg",1615892477745,"2021-03-16T11:01:17.745"
"img/cam21586786img1615892477822.jpg",1615892477822,"2021-03-16T11:01:17.822"
"img/cam21586786img1615892477895.jpg",1615892477895,"2021-03-16T11:01:17.895"
"img/cam21586786img1615892477970.jpg",1615892477970,"2021-03-16T11:01:17.970"
"img/cam21586786img1615892478056.jpg",1615892478056,"2021-03-16T11:01:18.056"
"img/cam21586786img1615892478149.jpg",1615892478149,"2021-03-16T11:01:18.149"
"img/cam21586786img1615892478224.jpg",1615892478224,"2021-03-16T11:01:18.224"
"img/cam21586786img1615892478296.jpg",1615892478296,"2021-03-16T11:01:18.296"
"img/cam21586786img1615892478390.jpg",1615892478390,"2021-03-16T11:01:18.390"
"img/cam21586786img1615892478464.jpg",1615892478464,"2021-03-16T11:01:18.464"
"img/cam21586786img1615892478538.jpg",1615892478538,"2021-03-16T11:01:18.538"
"img/cam21586786img1615892478611.jpg",1615892478611,"2021-03-16T11:01:18.611"
"img/cam21586786img1615892478691.jpg",1615892478691,"2021-03-16T11:01:18.691"
"img/cam21586786img1615892478764.jpg",1615892478764,"2021-03-16T11:01:18.764"
"img/cam21586786img1615892478839.jpg",1615892478839,"2021-03-16T11:01:18.839"
"img/cam21586786img1615892478913.jpg",1615892478913,"2021-03-16T11:01:18.913"
"img/cam21586786img1615892478988.jpg",1615892478988,"2021-03-16T11:01:18.988"
"img/cam21586786img1615892479063.jpg",1615892479063,"2021-03-16T11:01:19.063"
"img/cam21586786img1615892479136.jpg",1615892479136,"2021-03-16T11:01:19.136"
"img/cam21586786img1615892479211.jpg",1615892479211,"2021-03-16T11:01:19.211"
"img/cam21586786img1615892479286.jpg",1615892479286,"2021-03-16T11:01:19.286"
"img/cam21586786img1615892479358.jpg",1615892479358,"2021-03-16T11:01:19.358"
"img/cam21586786img1615892479432.jpg",1615892479432,"2021-03-16T11:01:19.432"
"img/cam21586786img1615892479507.jpg",1615892479507,"2021-03-16T11:01:19.507"
"img/cam21586786img1615892479581.jpg",1615892479581,"2021-03-16T11:01:19.581"
"img/cam21586786img1615892479654.jpg",1615892479654,"2021-03-16T11:01:19.654"
"img/cam21586786img1615892479728.jpg",1615892479728,"2021-03-16T11:01:19.728"
"img/cam21586786img1615892479801.jpg",1615892479801,"2021-03-16T11:01:19.801"
"img/cam21586786img1615892479879.jpg",1615892479879,"2021-03-16T11:01:19.879"
"img/cam21586786img1615892479953.jpg",1615892479953,"2021-03-16T11:01:19.953"
"img/cam21586786img1615892480030.jpg",1615892480030,"2021-03-16T11:01:20.030"
"img/cam21586786img1615892480104.jpg",1615892480104,"2021-03-16T11:01:20.104"
"img/cam21586786img1615892480177.jpg",1615892480177,"2021-03-16T11:01:20.177"
"img/cam21586786img1615892480250.jpg",1615892480250,"2021-03-16T11:01:20.250"
"img/cam21586786img1615892480325.jpg",1615892480325,"2021-03-16T11:01:20.325"
"img/cam21586786img1615892480399.jpg",1615892480399,"2021-03-16T11:01:20.399"
"img/cam21586786img1615892480474.jpg",1615892480474,"2021-03-16T11:01:20.474"
"img/cam21586786img1615892480554.jpg",1615892480554,"2021-03-16T11:01:20.554"
"img/cam21586786img1615892480628.jpg",1615892480628,"2021-03-16T11:01:20.628"
"img/cam21586786img1615892480701.jpg",1615892480701,"2021-03-16T11:01:20.701"
